,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"STAY (with Justin Bieber)","The Kid LAROI",8469665,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
2,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",7189005,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
3,"THATS WHAT I WANT","Lil Nas X",4554200,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
4,"Heat Waves","Glass Animals",4476838,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
5,Woman,"Doja Cat",4201276,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
6,"Bad Habits","Ed Sheeran",4158040,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
7,Pepas,Farruko,4048596,https://open.spotify.com/track/5fwSHlTEWpluwOM0Sxnh5k
8,"MONTERO (Call Me By Your Name)","Lil Nas X",3762718,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
9,Shivers,"Ed Sheeran",3742188,https://open.spotify.com/track/75MNhvTCCKsST3YqqUiU9r
10,Beggin',Måneskin,3646313,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
11,"good 4 u","Olivia Rodrigo",3522049,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
12,"Way 2 Sexy (with Future & Young Thug)",Drake,3144112,https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG
13,"Need To Know","Doja Cat",3137695,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
14,"Happier Than Ever","Billie Eilish",2894559,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
15,"Fair Trade (with Travis Scott)",Drake,2832383,https://open.spotify.com/track/40iJIUlhi6renaREYGeIDS
16,"Kiss Me More (feat. SZA)","Doja Cat",2786052,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
17,"Life Goes On","Oliver Tree",2662087,https://open.spotify.com/track/0eu4C55hL6x29mmeAjytzC
18,"Cold Heart - PNAU Remix","Elton John",2499819,https://open.spotify.com/track/6zSpb8dQRaw0M1dK8PBwQz
19,Yonaguni,"Bad Bunny",2311375,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
20,"love nwantiti (ah ah ah)",CKay,2249921,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
21,"Todo De Ti","Rauw Alejandro",2244848,https://open.spotify.com/track/5RwV8BvLfX5injfqYodke9
22,traitor,"Olivia Rodrigo",2240941,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
23,LALISA,LISA,2192481,https://open.spotify.com/track/7uQZVznj0uQOGC9KhV2Mg6
24,"Knife Talk (with 21 Savage ft. Project Pat)",Drake,2156809,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6
25,Volví,Aventura,2149469,https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi
26,"Girls Want Girls (with Lil Baby)",Drake,2141607,https://open.spotify.com/track/37Nqx7iavZpotJSDXZWbJ3
27,"Levitating (feat. DaBaby)","Dua Lipa",2140232,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
28,Hurricane,"Kanye West",2085694,https://open.spotify.com/track/0RbW8kWozrVSIGb4V13o0o
29,"In Da Getto","J Balvin",2016900,https://open.spotify.com/track/1q0PYXTbDsirp2l74ng6pn
30,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",2010785,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
31,"Meet Me At Our Spot","THE ANXIETY",2000687,https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG
32,"Take My Breath","The Weeknd",1976243,https://open.spotify.com/track/6M3PsepEj5gyJoIi7Xvr7u
33,"Blinding Lights","The Weeknd",1842150,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
34,"Qué Más Pues?","J Balvin",1839609,https://open.spotify.com/track/6D2TCm4nf5nxAcdGJ7w3QP
35,"I WANNA BE YOUR SLAVE",Måneskin,1837719,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
36,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",1804794,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
37,"Wildest Dreams (Taylor's Version)","Taylor Swift",1769836,https://open.spotify.com/track/1Ov37jtRQ2YNAe8HzfczkL
38,"drivers license","Olivia Rodrigo",1752173,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
39,2055,"Sleepy Hallow",1749807,https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo
40,"Get Into It (Yuh)","Doja Cat",1655235,https://open.spotify.com/track/0W6I02J9xcqK8MtSeosEXb
41,"Don't Be Shy",Tiësto,1642416,https://open.spotify.com/track/0bI7K9Becu2dtXK1Q3cZNB
42,"deja vu","Olivia Rodrigo",1612209,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
43,"love nwantiti (feat. Dj Yo! & AX'EL) - Remix",CKay,1608648,https://open.spotify.com/track/4gvrJnKCKIPiacNsWVQwEU
44,"Ley Seca","Jhay Cortez",1593488,https://open.spotify.com/track/3JCaq3KDSROg3TXhdiDa9n
45,Cúrame,"Rauw Alejandro",1559517,https://open.spotify.com/track/3PwRuzdphgedcWVUOVYJ7I
46,"family ties (with Kendrick Lamar)","Baby Keem",1558924,https://open.spotify.com/track/3QFInJAm9eyaho5vBzxInN
47,París,Ingratax,1527910,https://open.spotify.com/track/4bF2y8rR7GUjrd5LNEvej3
48,"Volando - Remix",Mora,1501108,https://open.spotify.com/track/0G2zPzWqVjR68iNPmx2TBe
49,"AM Remix","Nio Garcia",1479349,https://open.spotify.com/track/05bfbizlM5AX6Mf1RRyMho
50,Butter,BTS,1461383,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
51,"Where Are You Now","Lost Frequencies",1457826,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
52,Sobrio,Maluma,1449133,https://open.spotify.com/track/4HzqWEdAbzcVFDv0pvxV4w
53,"OUT OUT (feat. Charli XCX & Saweetie)","Joel Corry",1395080,https://open.spotify.com/track/6Dy1jexKYriXAVG6evyUTJ
54,"Like I Can","Sam Smith",1392617,https://open.spotify.com/track/0mJBiaODgK0XjOLCN5fItq
55,"SCOOP (feat. Doja Cat)","Lil Nas X",1386372,https://open.spotify.com/track/6bpq1jGkVz66Q3LYeoXdjZ
56,"Watermelon Sugar","Harry Styles",1384398,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
57,"Sweater Weather","The Neighbourhood",1356214,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
58,"Don't Go Yet","Camila Cabello",1356201,https://open.spotify.com/track/1058fW9H3fZA6QjYCdOBad
59,happier,"Olivia Rodrigo",1337351,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
60,"Leave The Door Open","Bruno Mars",1328574,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
61,"Dark Red","Steve Lacy",1303647,https://open.spotify.com/track/37y7iDayfwm3WXn5BiAoRk
62,"Mood (feat. iann dior)",24kGoldn,1293398,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
63,"Entre Nosotros","Tiago PZK",1288210,https://open.spotify.com/track/6w8yBI2vthyN9UnwO4UBWb
64,September,"Earth, Wind & Fire",1259041,https://open.spotify.com/track/4f2GB5ZC7vOUYPAg69N2Xw
65,DÁKITI,"Bad Bunny",1255838,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
66,"Permission to Dance",BTS,1254326,https://open.spotify.com/track/5eXBXreN3d1zdj6Sa8dS0u
67,Freaks,"Surf Curse",1239659,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
68,"Love Tonight - Edit",Shouse,1235270,https://open.spotify.com/track/6OufwUcCqo81guU2jAlDVP
69,"Una Nota","J Balvin",1226015,https://open.spotify.com/track/7iqOIHHEmu6Vhw25GgQ2eA
70,"Someone You Loved","Lewis Capaldi",1222011,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
71,"I GUESS I'M IN LOVE","Clinton Kane",1216082,https://open.spotify.com/track/1is8gU4RVcN4J8xItxWoOY
72,"Leave Before You Love Me (with Jonas Brothers)",Marshmello,1215901,https://open.spotify.com/track/4qu63nuBpdn0qHUHuObEj1
73,"Champagne Poetry",Drake,1213795,https://open.spotify.com/track/2HSmyk2qMN8WQjuGhaQgCk
74,"Pareja Del Año","Sebastian Yatra",1192258,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
75,"Don't Start Now","Dua Lipa",1191331,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
76,Dynamite,BTS,1183117,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
77,MONEY,LISA,1174069,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q
78,Moon,"Kanye West",1158198,https://open.spotify.com/track/2Rd4eJ4KwXQQn2sMSToyUM
79,Nostálgico,Rvssian,1145898,https://open.spotify.com/track/2BEcap3xJtmiPaHKyfQi4e
80,Miénteme,TINI,1138455,https://open.spotify.com/track/0cOa970mzTWAxKtltpkpLc
81,"DOLLA SIGN SLIME (feat. Megan Thee Stallion)","Lil Nas X",1136191,https://open.spotify.com/track/7zQirOExB0VR8yWUOqYeio
82,"favorite crime","Olivia Rodrigo",1134180,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
83,"jealousy, jealousy","Olivia Rodrigo",1134058,https://open.spotify.com/track/0MMyJUC3WNnFS1lit5pTjk
84,"Ain't Shit","Doja Cat",1129534,https://open.spotify.com/track/5lAnYvAIkSDNXqfo7DyFUm
85,"Astronaut In The Ocean","Masked Wolf",1126826,https://open.spotify.com/track/6E90gq0KO6FYZVOXx8kCcC
86,"love nwantiti (feat. ElGrande Toto) - North African Remix",CKay,1114320,https://open.spotify.com/track/1EYeZGTMCjV7uVey5fNWXM
87,"edamame (feat. Rich Brian)",bbno$,1102641,https://open.spotify.com/track/1uMHCAyGmHqyygoNRuo7MV
88,"Love Again","Dua Lipa",1102597,https://open.spotify.com/track/4rPkN1FMzQyFNP9cLUGIIB
89,"Tiroteo - Remix","Marc Seguí",1100782,https://open.spotify.com/track/4OwhwvKESFtuu06dTgct7i
90,"Have Mercy",Chlöe,1093158,https://open.spotify.com/track/5SixeLvPsYpk7qq9lo5xYg
91,"Summer of Love (Shawn Mendes & Tainy)","Shawn Mendes",1087729,https://open.spotify.com/track/0z8hI3OPS8ADPWtoCjjLl6
92,"The Business",Tiësto,1087426,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
