song_id,song_name,artists,genres
13594414.0,Señorita,"Shawn Mendes,Camila Cabello","canadian pop,pop,post-teen pop,viral pop,dance pop,pop,post-teen pop"
13977556.0,Memories,Maroon 5,pop
17771965.0,Psycho,Red Velvet,"k-pop,k-pop girl group"
12968774.0,Dance Monkey,Tones And I,australian pop
16667372.0,ROXANNE,Arizona Zervas,pop
13894543.0,Circles,Post Malone,"dfw rap,melodic rap,pop,rap"
16607925.0,everything i wanted,Billie Eilish,"electropop,pop"
15992709.0,Don't Start Now,Dua Lipa,"dance pop,pop,post-teen pop,uk pop"
10552890.0,bad guy,Billie Eilish,"electropop,pop"
13943566.0,說好不哭,"Jay Chou,Ashin Chen","c-pop,mandopop,taiwan pop,taiwan pop"
15044641.0,"讓愛高飛 - 劇集 ""多功能老婆"" 片尾曲",Pakho Chau,"c-pop,cantopop"
9900326.0,Falling,Trevor Daniel,"alternative r&b,emo rap,melodic rap"
17272038.0,My Oh My,"Camila Cabello,DaBaby","nc hip hop,rap,dance pop,pop,post-teen pop"
16979872.0,Into the Unknown,"Idina Menzel,AURORA","broadway,hollywood,movie tunes,show tunes,norwegian pop,pop"
12034443.0,Someone You Loved,Lewis Capaldi,"pop,uk pop"
17340503.0,Adore You,Harry Styles,"dance pop,pop,post-teen pop"
13298305.0,Beautiful People (feat. Khalid),"Ed Sheeran,Khalid","pop,uk pop,pop"
17235820.0,Blinding Lights,The Weeknd,"canadian contemporary r&b,canadian pop,pop,rap"
15663895.0,Lose You To Love Me,Selena Gomez,"dance pop,pop,post-teen pop"
13337953.0,我們都是這樣長大的,Sammi Cheng,"c-pop,cantopop,classic cantopop,mandopop"
17340502.0,Watermelon Sugar,Harry Styles,"dance pop,pop,post-teen pop"
4110408.0,你瞞我瞞,Jason Chan,"c-pop,cantopop"
6322965.0,Chun Qiu,Hins Cheung,"c-pop,cantopop,mandopop"
7391305.0,假使世界原來不像你預期,Charmaine Fong,"c-pop,cantopop"
14770291.0,"10,000 Hours (with Justin Bieber)","Dan + Shay,Justin Bieber","canadian pop,dance pop,pop,post-teen pop,contemporary country"
16607978.0,Mean It,"Lauv,LANY","la pop,pop,dance pop,pop"
17283820.0,人話,Charmaine Fong,"c-pop,cantopop"
13298308.0,I Don't Care (with Justin Bieber),"Ed Sheeran,Justin Bieber","canadian pop,dance pop,pop,post-teen pop,pop,uk pop"
9772540.0,未來見,RubberBand,c-pop
11356339.0,有一種悲傷 - 電影《比悲傷更悲傷的故事》主題曲,A-Lin,mandopop
10341048.0,7 rings,Ariana Grande,"dance pop,pop,post-teen pop"
846257.0,"你,好不好?(TVBS連續劇【遺憾拼圖】片尾曲) - Ending Theme Song of TVBS Series ""Life List""",Eric Chou,mandopop
17794030.0,句號,G.E.M.,"cantopop,mandopop"
13912536.0,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone,Swae Lee","dfw rap,melodic rap,pop,rap,trap"
17789352.0,透明,G.E.M.,"cantopop,mandopop"
15214141.0,願榮光歸香港,湯瑪仕與眾香港人,
13747613.0,hot girl bummer,blackbear,pop
16129130.0,我們的基因,Kay Tse,"c-pop,cantopop"
767315.0,告白氣球,Jay Chou,"c-pop,mandopop,taiwan pop"
13293287.0,South of the Border (feat. Camila Cabello & Cardi B),"Ed Sheeran,Camila Cabello,Cardi B","pop,uk pop,pop,rap,dance pop,pop,post-teen pop"
13443346.0,How Do You Sleep?,Sam Smith,"pop,uk pop"
5516301.0,Something Just Like This,"The Chainsmokers,Coldplay","permanent wave,pop,electropop,pop,tropical house"
9900139.0,Shallow,"Lady Gaga,Bradley Cooper","dance pop,pop,hollywood"
1189622.0,Xi Tie Jie,Kay Tse,"c-pop,cantopop"
17202536.0,Heartless,The Weeknd,"canadian contemporary r&b,canadian pop,pop,rap"
16359467.0,逃生門 (feat. 王灝兒) - 門外版,"Endy Chow,JW","cantopop,c-pop,cantopop"
5182482.0,Shape of You,Ed Sheeran,"pop,uk pop"
160362.0,Ke Xi Wo Shi Shui Ping Zuo,Miriam Yeung,"c-pop,cantopop"
16979869.0,Show Yourself,"Idina Menzel,Evan Rachel Wood","broadway,hollywood,movie tunes,show tunes,hollywood"
17794743.0,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,"Travis Scott,ROSALÍA,Lil Baby","pop,pop rap,rap,r&b en espanol,atl hip hop,atl trap,rap,trap"
17128088.0,Before You Go,Lewis Capaldi,"pop,uk pop"
11040772.0,Boy With Luv (feat. Halsey),"BTS,Halsey","dance pop,electropop,etherpop,indie poptimism,pop,post-teen pop,k-pop,k-pop boy group"
9381630.0,心之科學,Joey Yung,"c-pop,cantopop"
4544.0,明年今日,Eason Chan,"c-pop,cantopop,mandopop"
7494645.0,命硬,Justin Lo,"c-pop,cantopop"
4092285.0,Ying Hua Shu Xia,Hins Cheung,"c-pop,cantopop,mandopop"
6996186.0,歲月如歌,Eason Chan,"c-pop,cantopop,mandopop"
830900.0,Closer,"The Chainsmokers,Halsey","electropop,pop,tropical house,dance pop,electropop,etherpop,indie poptimism,pop,post-teen pop"
9368852.0,Girls Like You (feat. Cardi B),"Maroon 5,Cardi B","pop,pop,rap"
17772791.0,怎麼了,Eric Chou,mandopop
5182483.0,Perfect,Ed Sheeran,"pop,uk pop"
17265517.0,說散就散,JC 陳詠桐,"cantopop,mandopop"
17277434.0,Takeaway,"The Chainsmokers,ILLENIUM,Lennon Stella","electropop,pop,tropical house,edm,electropop,pop,canadian pop,dance pop,electropop,pop,post-teen pop"
16429902.0,Lover (Remix) [feat. Shawn Mendes],"Taylor Swift,Shawn Mendes","dance pop,pop,post-teen pop,canadian pop,pop,post-teen pop,viral pop"
17783252.0,情感的廢墟,Juno Mak,"c-pop,cantopop,chinese indie"
3370347.0,來自天堂的魔鬼,G.E.M.,"cantopop,mandopop"
476715.0,心淡,Joey Yung,"c-pop,cantopop"
9728543.0,2002,Anne-Marie,"dance pop,pop,post-teen pop,tropical house,uk pop"
13594415.0,If I Can't Have You,Shawn Mendes,"canadian pop,pop,post-teen pop,viral pop"
10146959.0,百年樹木,Hins Cheung,"c-pop,cantopop,mandopop"
8202733.0,突然好想你,Mayday,"c-pop,mandopop,taiwan pop"
4530.0,無盡,Supper Moment,cantopop
17789954.0,Trampoline,"SHAED,ZAYN","dance pop,pop,post-teen pop,uk pop,electropop"
