session_id,user_id,login_at,logout_at,session_duration_sec,videos_viewed,watch_seconds
1,4,2025-08-01T19:45:47Z,2025-08-01T19:45:53Z,6,1,3
2,5,2025-08-01T01:06:14Z,2025-08-01T01:06:23Z,9,1,7
3,5,2025-08-01T15:37:20Z,2025-08-01T15:40:33Z,193,10,168
4,6,2025-08-01T20:53:43Z,2025-08-01T20:55:33Z,110,7,90
5,7,2025-08-01T08:05:29Z,2025-08-01T08:05:36Z,7,1,5
6,11,2025-08-01T18:53:27Z,2025-08-01T18:54:01Z,34,3,22
7,20,2025-08-01T22:07:00Z,2025-08-01T22:08:10Z,70,6,53
8,23,2025-08-01T19:25:48Z,2025-08-01T19:26:53Z,65,3,56
9,23,2025-08-01T20:14:30Z,2025-08-01T20:15:54Z,84,4,72
10,23,2025-08-01T10:14:11Z,2025-08-01T10:14:18Z,7,1,4
11,29,2025-08-01T03:44:30Z,2025-08-01T03:46:08Z,98,7,78
12,29,2025-08-01T01:16:37Z,2025-08-01T01:17:45Z,68,7,44
13,34,2025-08-01T06:50:07Z,2025-08-01T06:51:14Z,67,3,61
14,37,2025-08-01T09:28:25Z,2025-08-01T09:28:34Z,9,1,5
15,41,2025-08-01T09:33:49Z,2025-08-01T09:33:54Z,5,1,3
16,42,2025-08-01T18:08:37Z,2025-08-01T18:09:38Z,61,2,56
17,42,2025-08-01T12:48:11Z,2025-08-01T12:48:16Z,5,1,4
18,50,2025-08-01T05:35:12Z,2025-08-01T05:35:20Z,8,1,5
19,50,2025-08-01T07:16:57Z,2025-08-01T07:24:30Z,453,24,385
20,50,2025-08-01T03:19:35Z,2025-08-01T03:21:12Z,97,3,90
21,53,2025-08-01T14:51:19Z,2025-08-01T14:52:03Z,44,6,31
22,60,2025-08-01T07:19:49Z,2025-08-01T07:20:48Z,59,4,50
23,61,2025-08-01T09:08:46Z,2025-08-01T09:09:34Z,48,2,45
24,62,2025-08-01T18:11:45Z,2025-08-01T18:12:26Z,41,3,33
25,64,2025-08-01T17:17:44Z,2025-08-01T17:20:29Z,165,8,141
26,68,2025-08-01T03:01:04Z,2025-08-01T03:01:11Z,7,1,4
27,71,2025-08-01T09:07:16Z,2025-08-01T09:12:51Z,335,15,299
28,71,2025-08-01T15:17:11Z,2025-08-01T15:17:16Z,5,1,4
29,71,2025-08-01T18:32:09Z,2025-08-01T18:32:32Z,23,2,16
30,72,2025-08-01T04:14:48Z,2025-08-01T04:15:12Z,24,2,21
31,75,2025-08-01T14:19:11Z,2025-08-01T14:21:41Z,150,10,121
32,76,2025-08-01T18:07:58Z,2025-08-01T18:10:42Z,164,5,152
33,76,2025-08-01T18:39:49Z,2025-08-01T18:43:22Z,213,10,179
34,76,2025-08-01T10:35:38Z,2025-08-01T10:35:59Z,21,3,14
35,76,2025-08-01T09:41:49Z,2025-08-01T09:46:19Z,270,11,241
36,81,2025-08-01T11:15:14Z,2025-08-01T11:16:10Z,56,3,51
37,86,2025-08-01T10:12:27Z,2025-08-01T10:13:22Z,55,3,49
38,86,2025-08-01T05:23:37Z,2025-08-01T05:23:43Z,6,1,2
39,90,2025-08-01T19:40:25Z,2025-08-01T19:41:55Z,90,4,80
40,90,2025-08-01T14:03:15Z,2025-08-01T14:03:56Z,41,2,37
41,91,2025-08-01T15:45:34Z,2025-08-01T15:45:48Z,14,1,12
42,91,2025-08-01T19:01:43Z,2025-08-01T19:02:10Z,27,2,23
43,95,2025-08-01T02:34:20Z,2025-08-01T02:36:27Z,127,7,104
44,95,2025-08-01T20:14:12Z,2025-08-01T20:16:06Z,114,8,92
45,96,2025-08-01T11:33:51Z,2025-08-01T11:34:08Z,17,1,14
46,96,2025-08-01T13:01:11Z,2025-08-01T13:01:43Z,32,2,28
47,96,2025-08-01T21:37:19Z,2025-08-01T21:37:23Z,4,1,3
48,101,2025-08-01T09:26:09Z,2025-08-01T09:27:28Z,79,4,69
49,102,2025-08-01T11:16:15Z,2025-08-01T11:16:59Z,44,3,33
50,102,2025-08-01T19:48:43Z,2025-08-01T19:49:10Z,27,2,19
51,102,2025-08-01T20:48:27Z,2025-08-01T20:48:58Z,31,2,27
52,102,2025-08-01T15:35:17Z,2025-08-01T15:35:28Z,11,1,7
53,103,2025-08-01T01:15:31Z,2025-08-01T01:16:59Z,88,4,80
54,103,2025-08-01T04:14:29Z,2025-08-01T04:15:47Z,78,5,63
55,104,2025-08-01T19:59:45Z,2025-08-01T20:00:00Z,15,1,11
56,104,2025-08-01T13:50:31Z,2025-08-01T13:50:43Z,12,2,6
57,104,2025-08-01T19:48:39Z,2025-08-01T19:50:01Z,82,5,71
58,108,2025-08-01T17:47:23Z,2025-08-01T17:51:41Z,258,16,217
59,108,2025-08-01T14:16:36Z,2025-08-01T14:16:48Z,12,2,5
60,111,2025-08-01T11:03:35Z,2025-08-01T11:04:30Z,55,3,45
61,112,2025-08-01T21:17:49Z,2025-08-01T21:18:34Z,45,6,28
62,122,2025-08-01T18:39:34Z,2025-08-01T18:43:26Z,232,13,204
63,123,2025-08-01T09:03:30Z,2025-08-01T09:03:59Z,29,2,21
64,123,2025-08-01T00:37:51Z,2025-08-01T00:37:59Z,8,1,5
65,123,2025-08-01T01:21:45Z,2025-08-01T01:24:26Z,161,8,136
66,125,2025-08-01T04:18:02Z,2025-08-01T04:19:44Z,102,9,72
67,127,2025-08-01T16:09:20Z,2025-08-01T16:12:29Z,189,8,163
68,127,2025-08-01T07:34:11Z,2025-08-01T07:35:53Z,102,3,95
69,127,2025-08-01T08:50:04Z,2025-08-01T08:50:10Z,6,1,3
70,127,2025-08-01T02:13:01Z,2025-08-01T02:14:25Z,84,4,71
71,128,2025-08-01T06:48:12Z,2025-08-01T06:52:52Z,280,12,255
72,133,2025-08-01T20:33:35Z,2025-08-01T20:35:32Z,117,5,97
73,133,2025-08-01T05:04:43Z,2025-08-01T05:04:50Z,7,1,4
74,133,2025-08-01T14:15:39Z,2025-08-01T14:15:51Z,12,2,7
75,133,2025-08-01T00:26:05Z,2025-08-01T00:27:07Z,62,2,54
76,133,2025-08-01T11:15:52Z,2025-08-01T11:16:20Z,28,3,21
77,137,2025-08-01T14:16:24Z,2025-08-01T14:17:42Z,78,5,64
78,138,2025-08-01T18:26:05Z,2025-08-01T18:27:59Z,114,6,93
79,139,2025-08-01T03:50:06Z,2025-08-01T03:54:15Z,249,9,222
80,140,2025-08-01T03:41:29Z,2025-08-01T03:47:22Z,353,17,303
81,140,2025-08-01T05:18:48Z,2025-08-01T05:19:42Z,54,4,44
82,145,2025-08-01T08:53:53Z,2025-08-01T08:54:06Z,13,1,9
83,145,2025-08-01T09:38:27Z,2025-08-01T09:40:00Z,93,7,67
84,145,2025-08-01T10:07:13Z,2025-08-01T10:07:43Z,30,2,27
85,145,2025-08-01T14:03:14Z,2025-08-01T14:04:30Z,76,6,57
86,145,2025-08-01T06:16:40Z,2025-08-01T06:17:32Z,52,3,41
87,146,2025-08-01T13:23:06Z,2025-08-01T13:24:58Z,112,7,95
88,148,2025-08-01T11:16:33Z,2025-08-01T11:17:14Z,41,2,38
89,150,2025-08-01T08:54:30Z,2025-08-01T08:54:36Z,6,1,3
90,156,2025-08-01T14:31:22Z,2025-08-01T14:31:28Z,6,1,5
91,156,2025-08-01T20:13:37Z,2025-08-01T20:13:43Z,6,1,3
92,156,2025-08-01T09:32:35Z,2025-08-01T09:33:39Z,64,7,46
93,158,2025-08-01T00:43:55Z,2025-08-01T00:44:44Z,49,2,43
94,158,2025-08-01T21:07:31Z,2025-08-01T21:09:55Z,144,6,130
95,159,2025-08-01T06:06:57Z,2025-08-01T06:07:07Z,10,1,8
96,161,2025-08-01T04:35:49Z,2025-08-01T04:37:34Z,105,7,84
97,161,2025-08-01T22:10:23Z,2025-08-01T22:13:01Z,158,9,135
98,163,2025-08-01T01:16:05Z,2025-08-01T01:17:01Z,56,4,41
99,164,2025-08-01T09:51:48Z,2025-08-01T09:53:25Z,97,4,87
100,167,2025-08-01T08:58:37Z,2025-08-01T09:02:30Z,233,10,210
101,169,2025-08-01T07:09:14Z,2025-08-01T07:10:17Z,63,3,55
102,169,2025-08-01T03:01:13Z,2025-08-01T03:01:43Z,30,2,25
103,169,2025-08-01T10:02:58Z,2025-08-01T10:03:29Z,31,2,24
104,170,2025-08-01T08:28:29Z,2025-08-01T08:31:00Z,151,9,121
105,174,2025-08-01T19:51:35Z,2025-08-01T19:51:43Z,8,1,7
106,175,2025-08-01T15:17:55Z,2025-08-01T15:18:03Z,8,1,5
107,175,2025-08-01T03:02:50Z,2025-08-01T03:03:16Z,26,2,20
108,175,2025-08-01T06:50:23Z,2025-08-01T06:50:26Z,3,1,2
109,175,2025-08-01T18:03:01Z,2025-08-01T18:07:03Z,242,11,216
110,179,2025-08-01T06:30:26Z,2025-08-01T06:30:46Z,20,2,13
111,186,2025-08-01T11:46:42Z,2025-08-01T11:47:24Z,42,4,29
112,186,2025-08-01T09:30:57Z,2025-08-01T09:31:04Z,7,1,5
113,192,2025-08-01T05:14:54Z,2025-08-01T05:17:46Z,172,14,130
114,194,2025-08-01T19:07:24Z,2025-08-01T19:08:16Z,52,3,43
115,196,2025-08-01T16:57:48Z,2025-08-01T16:59:16Z,88,3,81
116,196,2025-08-01T07:27:07Z,2025-08-01T07:27:18Z,11,2,6
117,196,2025-08-01T17:07:48Z,2025-08-01T17:08:07Z,19,1,15
118,199,2025-08-01T13:23:10Z,2025-08-01T13:23:19Z,9,1,6
119,199,2025-08-01T08:22:07Z,2025-08-01T08:23:16Z,69,3,63
120,206,2025-08-01T18:19:39Z,2025-08-01T18:21:19Z,100,5,88
121,207,2025-08-01T16:39:38Z,2025-08-01T16:40:23Z,45,4,33
122,208,2025-08-01T06:20:09Z,2025-08-01T06:23:09Z,180,8,158
123,209,2025-08-01T10:31:41Z,2025-08-01T10:33:16Z,95,6,79
124,209,2025-08-01T08:00:14Z,2025-08-01T08:00:21Z,7,1,4
125,209,2025-08-01T00:21:13Z,2025-08-01T00:22:20Z,67,4,57
126,212,2025-08-01T04:17:54Z,2025-08-01T04:19:36Z,102,6,85
127,215,2025-08-01T13:24:22Z,2025-08-01T13:24:44Z,22,2,15
128,216,2025-08-01T01:35:48Z,2025-08-01T01:36:56Z,68,4,61
129,219,2025-08-01T21:14:39Z,2025-08-01T21:14:48Z,9,1,5
130,219,2025-08-01T14:26:50Z,2025-08-01T14:26:55Z,5,1,4
131,219,2025-08-01T10:25:26Z,2025-08-01T10:26:31Z,65,3,56
132,222,2025-08-01T16:57:05Z,2025-08-01T16:57:10Z,5,1,1
133,223,2025-08-01T03:58:30Z,2025-08-01T03:59:12Z,42,2,37
134,224,2025-08-01T07:19:01Z,2025-08-01T07:20:02Z,61,3,52
135,224,2025-08-01T12:40:22Z,2025-08-01T12:40:58Z,36,3,30
136,230,2025-08-01T15:35:05Z,2025-08-01T15:36:21Z,76,3,68
137,230,2025-08-01T07:24:42Z,2025-08-01T07:24:51Z,9,1,5
138,230,2025-08-01T18:43:44Z,2025-08-01T18:43:57Z,13,1,11
139,230,2025-08-01T11:37:59Z,2025-08-01T11:38:56Z,57,3,50
140,232,2025-08-01T03:16:41Z,2025-08-01T03:18:10Z,89,5,74
141,233,2025-08-01T17:36:08Z,2025-08-01T17:37:16Z,68,4,57
142,239,2025-08-01T12:22:48Z,2025-08-01T12:25:45Z,177,13,145
143,239,2025-08-01T05:12:11Z,2025-08-01T05:13:47Z,96,6,76
144,239,2025-08-01T10:34:44Z,2025-08-01T10:34:55Z,11,1,7
145,240,2025-08-01T18:48:41Z,2025-08-01T18:50:22Z,101,7,83
146,240,2025-08-01T15:00:14Z,2025-08-01T15:03:02Z,168,9,137
147,241,2025-08-01T13:41:48Z,2025-08-01T13:41:58Z,10,2,4
148,243,2025-08-01T03:57:21Z,2025-08-01T04:01:11Z,230,7,212
149,243,2025-08-01T07:29:13Z,2025-08-01T07:30:11Z,58,3,47
150,246,2025-08-01T09:51:44Z,2025-08-01T09:54:29Z,165,8,144
151,249,2025-08-01T15:11:57Z,2025-08-01T15:12:34Z,37,2,30
152,249,2025-08-01T06:40:27Z,2025-08-01T06:40:37Z,10,1,6
