watch_event_id,impression_id,session_id,user_id,video_id,creator_id,action,watch_seconds,started_at,ended_at,started_at_raw
1,1,1,6,3224,117,exit_platform,8,2025-08-01T13:09:01Z,2025-08-01T13:09:09Z,20250801 130901
2,2,2,8,668,109,exit_platform,6,2025-08-01T21:26:57Z,2025-08-01T21:27:03Z,2025-08-01T21:26:57Z
3,3,3,9,3440,152,skip_immediate,0,2025-08-01T17:22:41Z,2025-08-01T17:22:42Z,2025-08-01T17:22:41Z
4,4,3,9,703,145,watch_full,34,2025-08-01T17:22:46Z,2025-08-01T17:23:20Z,2025-08-01T17:22:46Z
5,5,3,9,2175,179,skip_immediate,NA,2025-08-01T17:23:24Z,2025-08-01T17:23:25Z,2025-08-01T17:23:24Z
6,6,3,9,2351,135,skip_after_partial,17,2025-08-01T17:23:29Z,2025-08-01T17:23:46Z,2025-08-01T17:23:29Z
7,7,3,9,2217,95,skip_immediate,0,2025-08-01T17:23:47Z,2025-08-01T17:23:48Z,20250801 172347
8,8,3,9,1774,82,watch_full,38,2025-08-01T17:23:50Z,2025-08-01T17:24:28Z,2025-08-01T17:23:50Z
9,9,3,9,3440,152,watch_full,25,2025-08-01T17:24:32Z,2025-08-01T17:24:57Z,2025-08-01T17:24:32Z
10,10,3,9,3536,55,skip_immediate,0,2025-08-01T17:25:00Z,2025-08-01T17:25:01Z,2025-08-01T17:25:00Z
11,11,3,9,2548,12,watch_full,NA,2025-08-01T17:25:02Z,2025-08-01T17:25:37Z,20250801 172502
12,12,3,9,3848,83,exit_platform,4,2025-08-01T17:25:41Z,2025-08-01T17:25:45Z,2025-08-01T17:25:41Z
13,13,4,11,2605,197,skip_after_partial,6,2025-08-01T20:53:43Z,2025-08-01T20:53:49Z,2025-08-01T20:53:43Z
14,14,4,11,3535,41,exit_platform,NA,2025-08-01T20:53:51Z,2025-08-01T20:53:54Z,2025-08-01T20:53:51Z
15,15,5,13,1974,98,watch_full,NA,2025-08-01T07:19:12Z,2025-08-01T07:19:47Z,2025-08-01T07:19:12Z
16,16,5,13,2397,44,watch_full,NA,2025-08-01T07:19:51Z,2025-08-01T07:20:12Z,2025-08-01T07:19:51Z
17,17,5,13,3535,41,watch_full,32,2025-08-01T07:20:14Z,2025-08-01T07:20:46Z,2025-08-01T07:20:14Z
18,18,5,13,4120,87,skip_after_partial,25,2025-08-01T07:20:48Z,2025-08-01T07:21:13Z,20250801 072048
19,19,5,13,3012,194,watch_full,48,2025-08-01T07:21:16Z,2025-08-01T07:22:04Z,1754032876
20,20,5,13,3012,194,skip_after_partial,21,2025-08-01T07:22:05Z,2025-08-01T07:22:26Z,2025-08-01T07:22:05Z
21,21,5,13,4120,87,watch_full,35,2025-08-01T07:22:28Z,2025-08-01T07:23:03Z,2025-08-01T07:22:28Z
22,22,5,13,2548,12,skip_immediate,NA,2025-08-01T07:23:06Z,2025-08-01T07:23:07Z,2025-08-01T07:23:06Z
23,23,5,13,29,136,skip_immediate,0,2025-08-01T07:23:08Z,2025-08-01T07:23:09Z,2025-08-01T07:23:08Z
24,24,5,13,4059,179,skip_after_partial,NA,2025-08-01T07:23:11Z,2025-08-01T07:23:21Z,2025-08-01T07:23:11Z
25,25,5,13,3536,55,exit_platform,9,2025-08-01T07:23:23Z,2025-08-01T07:23:32Z,2025-08-01T07:23:23Z
26,26,6,13,1974,98,skip_after_partial,NA,2025-08-01T22:07:00Z,2025-08-01T22:07:10Z,1754086020
27,27,6,13,927,10,watch_full,24,2025-08-01T22:07:11Z,2025-08-01T22:07:35Z,2025-08-01T22:07:11Z
28,28,6,13,2397,44,skip_immediate,NA,2025-08-01T22:07:39Z,2025-08-01T22:07:40Z,2025-08-01T22:07:39Z
29,29,6,13,1974,98,skip_immediate,NA,2025-08-01T22:07:44Z,2025-08-01T22:07:45Z,2025-08-01T22:07:44Z
30,30,6,13,1147,134,skip_after_partial,19,2025-08-01T22:07:47Z,2025-08-01T22:08:06Z,2025-08-01T22:07:47Z
31,31,6,13,29,136,exit_platform,7,2025-08-01T22:08:07Z,2025-08-01T22:08:14Z,2025-08-01T22:08:07Z
32,32,7,14,2623,1,skip_immediate,NA,2025-08-01T19:25:48Z,2025-08-01T19:25:49Z,2025-08-01T19:25:48Z
33,33,7,14,3565,168,watch_full,NA,2025-08-01T19:25:53Z,2025-08-01T19:26:22Z,2025-08-01T19:25:53Z
34,34,7,14,1249,160,skip_after_partial,21,2025-08-01T19:26:24Z,2025-08-01T19:26:45Z,1754076384
35,35,7,14,2478,88,skip_immediate,0,2025-08-01T19:26:46Z,2025-08-01T19:26:47Z,2025-08-01T19:26:46Z
36,36,7,14,621,212,skip_after_partial,21,2025-08-01T19:26:51Z,2025-08-01T19:27:12Z,2025-08-01T19:26:51Z
37,37,7,14,1220,135,exit_platform,8,2025-08-01T19:27:14Z,2025-08-01T19:27:22Z,2025-08-01T19:27:14Z
38,38,8,14,621,212,skip_after_partial,21,2025-08-01T03:54:14Z,2025-08-01T03:54:35Z,2025-08-01T03:54:14Z
39,39,8,14,2995,106,skip_after_partial,20,2025-08-01T03:54:39Z,2025-08-01T03:54:59Z,2025-08-01T03:54:39Z
40,40,8,14,2175,179,exit_platform,4,2025-08-01T03:55:02Z,2025-08-01T03:55:06Z,2025-08-01T03:55:02Z
41,41,9,18,3091,142,watch_full,28,2025-08-01T19:34:57Z,2025-08-01T19:35:25Z,2025-08-01T19:34:57Z
42,42,9,18,703,145,watch_full,34,2025-08-01T19:35:27Z,2025-08-01T19:36:01Z,2025-08-01T19:35:27Z
43,43,9,18,3848,83,skip_after_partial,7,2025-08-01T19:36:03Z,2025-08-01T19:36:10Z,2025-08-01T19:36:03Z
