video_id,creator_id,video_length_sec,published_at,video_url,impressions_n,watched_n,watch_rate,avg_watch_seconds_when_watched,total_watch_seconds,avg_watch_share,distinct_watchers_n,first_impression_at,last_impression_at,first_watch_at,last_watch_at
1,66,14,1767297237,https://www.tiktok.com/@olivialive2824/video/9000000000000000001,4,3,0.75,10.666666666666666,32,0.5714285714285714,3,1768287244,1769439546,1768287244,1769439546
2,62,47,1768475971,https://www.tiktok.com/@isabellabrown/video/9000000000000000002,0,0,NA,NA,0,NA,0,NA,NA,NA,NA
3,176,37,1766815457,https://www.tiktok.com/@isabellawalker/video/9000000000000000003,14,10,0.7142857142857143,18.6,186,0.3590733590733591,10,1766868873,1769741156,1766868873,1769741156
4,22,29,1755689136,https://www.tiktok.com/@lucastaylor/video/9000000000000000004,67,49,0.7313432835820896,15.387755102040817,754,0.3880597014925373,43,1755661745,1769429852,1755661745,1769429852
5,39,28,1762696418,https://www.tiktok.com/@avabrown/video/9000000000000000005,25,18,0.72,14.444444444444445,260,0.37142857142857144,15,1762792600,1769860569,1762792600,1769860569
6,148,36,1764970157,https://www.tiktok.com/@harperwalker_1/video/9000000000000000006,14,7,0.5,19,133,0.2638888888888889,7,1765069292,1769101217,1765069292,1769101217
7,158,30,1759673374,https://www.tiktok.com/@emmadaily7088/video/9000000000000000007,23,19,0.8260869565217391,16.94736842105263,322,0.4666666666666666,19,1760437074,1769432213,1760437074,1769432213
8,30,34,1761892728,https://www.tiktok.com/@avawilson/video/9000000000000000008,19,14,0.7368421052631579,19.5,273,0.42260061919504643,14,1761884324,1768955216,1761884324,1768955216
9,200,25,1765311540,https://www.tiktok.com/@oliviamedia9264/video/9000000000000000009,6,4,0.6666666666666666,18.25,73,0.48666666666666664,4,1766379466,1769566589,1766379466,1769566589
10,19,48,1754999699,https://www.tiktok.com/@elijahthomas/video/9000000000000000010,86,64,0.7441860465116279,23.703125,1517,0.36749031007751937,59,1754976917,1769855964,1754976917,1769855964
11,5,11,1768757479,https://www.tiktok.com/@evelyntaylor/video/9000000000000000011,4,3,0.75,6,18,0.40909090909090906,3,1754054034,1768963648,1754054034,1768963648
12,128,28,1763907206,https://www.tiktok.com/@evelynhub1214/video/9000000000000000012,16,13,0.8125,12.692307692307692,165,0.36830357142857145,12,1764108812,1769828327,1764108812,1769828327
13,91,29,1767326455,https://www.tiktok.com/@ameliadavis/video/9000000000000000013,7,4,0.5714285714285714,13.25,53,0.2610837438423645,4,1767541333,1769703989,1767541333,1769703989
14,82,24,1768290479,https://www.tiktok.com/@sophiaanderson_2/video/9000000000000000014,2,2,1,17.5,35,0.7291666666666666,2,1768485629,1768903307,1768485629,1768903307
15,150,24,1756627512,https://www.tiktok.com/@isabelladaily193/video/9000000000000000015,50,31,0.62,11.870967741935484,368,0.3066666666666667,28,1756603104,1769126621,1756603104,1769126621
16,27,42,1761470261,https://www.tiktok.com/@sophiaanderson_1/video/9000000000000000016,23,18,0.782608695652174,16.833333333333332,303,0.3136645962732919,15,1761490469,1769829328,1761490469,1769829328
17,101,35,1756955389,https://www.tiktok.com/@emmadavis/video/9000000000000000017,43,33,0.7674418604651163,18.242424242424242,602,0.39999999999999997,33,1757134443,1769258908,1757134443,1769258908
18,32,25,1756137683,https://www.tiktok.com/@emmaofficial9975/video/9000000000000000018,51,38,0.7450980392156863,14.31578947368421,544,0.4266666666666667,35,1756082797,1769832838,1756082797,1769832838
19,10,37,1757489297,https://www.tiktok.com/@harperanderson/video/9000000000000000019,39,24,0.6153846153846154,19.041666666666668,457,0.3167013167013167,24,1757606488,1769177701,1757606488,1769177701
20,30,34,1760036255,https://www.tiktok.com/@avawilson/video/9000000000000000020,16,11,0.6875,18,198,0.3639705882352941,10,1760269896,1768350339,1760269896,1768350339
21,113,44,1765033744,https://www.tiktok.com/@elijahlopez_1/video/9000000000000000021,18,9,0.5,16.444444444444443,148,0.18686868686868688,9,1765296643,1769709632,1765296643,1769709632
22,78,37,1766207723,https://www.tiktok.com/@loganmoore/video/9000000000000000022,8,7,0.875,23.714285714285715,166,0.5608108108108109,7,1766578933,1768898964,1766578933,1768898964
23,112,34,1761874245,https://www.tiktok.com/@ethanjohnson/video/9000000000000000023,17,16,0.9411764705882353,18.625,298,0.5155709342560554,16,1761878448,1769720238,1761878448,1769720238
24,125,27,1768475941,https://www.tiktok.com/@miatv7025/video/9000000000000000024,4,2,0.5,27,54,0.5,2,1769106001,1769823269,1769106001,1769823269
25,148,41,1765405319,https://www.tiktok.com/@harperwalker_1/video/9000000000000000025,12,7,0.5833333333333334,15.285714285714286,107,0.21747967479674798,7,1765343774,1769450118,1765343774,1769450118
26,171,45,1760563771,https://www.tiktok.com/@benjaminlive1642/video/9000000000000000026,27,15,0.5555555555555556,25.333333333333332,380,0.31275720164609055,15,1760992059,1769858091,1760992059,1769858091
27,75,42,1760111644,https://www.tiktok.com/@sophiastudio5133/video/9000000000000000027,21,16,0.7619047619047619,19.6875,315,0.35714285714285715,16,1760241745,1769601909,1760241745,1769601909
