video_id,creator_id,video_length_sec,published_at,video_url,impressions_n,watched_n,watch_rate,avg_watch_seconds_when_watched,total_watch_seconds,avg_watch_share,distinct_watchers_n,first_impression_at,last_impression_at,first_watch_at,last_watch_at
1,37,24,1754354430,https://www.tiktok.com/@charlottegarcia/video/9000000000000000001,66,42,0.6363636363636364,12.047619047619047,506,0.3194444444444444,34,1754358053,1758872692,1754358053,1758872692
2,5,52,1756627738,https://www.tiktok.com/@evelyndaily3219/video/9000000000000000002,15,9,0.6,34.111111111111114,307,0.39358974358974363,8,1756749929,1758795937,1756749929,1758795937
3,46,23,1758745786,https://www.tiktok.com/@benjaminhub4825/video/9000000000000000003,1,0,0,NA,0,0,0,1758673041,1758673041,1758673041,1758673041
4,48,36,1754929845,https://www.tiktok.com/@isabellahub287/video/9000000000000000004,42,23,0.5476190476190477,14.478260869565217,333,0.22023809523809523,18,1754925674,1759091428,1754925674,1759091428
5,47,33,1755603913,https://www.tiktok.com/@avawalker_1/video/9000000000000000005,24,21,0.875,17.238095238095237,362,0.457070707070707,17,1755665455,1758877787,1755665455,1758877787
6,26,34,1755473145,https://www.tiktok.com/@noahlive7510/video/9000000000000000006,26,11,0.4230769230769231,21.272727272727273,234,0.2647058823529412,11,1755451424,1758656774,1755451424,1758656774
7,34,31,1755617914,https://www.tiktok.com/@masonwilson/video/9000000000000000007,21,15,0.7142857142857143,20.266666666666666,304,0.46697388632872505,14,1755761985,1759173025,1755761985,1759173025
8,17,48,1754956707,https://www.tiktok.com/@evelyngarcia/video/9000000000000000008,31,22,0.7096774193548387,18.545454545454547,408,0.27419354838709675,20,1754892664,1758975300,1754892664,1758975300
9,44,32,1757241464,https://www.tiktok.com/@jamessmith/video/9000000000000000009,14,6,0.42857142857142855,17.666666666666668,106,0.23660714285714285,6,1757264836,1758902557,1757264836,1758902557
10,56,32,1756452723,https://www.tiktok.com/@masonhall/video/9000000000000000010,18,10,0.5555555555555556,17.2,172,0.2986111111111111,10,1754024525,1758973380,1754024525,1758973380
11,23,28,1756202559,https://www.tiktok.com/@jameshub7877/video/9000000000000000011,19,13,0.6842105263157895,16,208,0.3909774436090226,12,1756210936,1759155562,1756210936,1759155562
12,26,29,1755297137,https://www.tiktok.com/@noahlive7510/video/9000000000000000012,39,22,0.5641025641025641,18.363636363636363,404,0.3572060123784262,18,1755312638,1759070286,1755312638,1759070286
13,3,15,1757575135,https://www.tiktok.com/@charlotteanderson/video/9000000000000000013,11,5,0.45454545454545453,6.2,31,0.18787878787878787,5,1757867378,1759176053,1757867378,1759176053
14,24,18,1757934397,https://www.tiktok.com/@evelynjackson/video/9000000000000000014,13,8,0.6153846153846154,11.625,93,0.39743589743589747,6,1757995887,1759116249,1757995887,1759116249
15,43,37,1754409476,https://www.tiktok.com/@jameswalker/video/9000000000000000015,48,37,0.7708333333333334,21.054054054054053,779,0.43862612612612617,32,1754428284,1758951848,1754428284,1758951848
16,4,28,1758784525,https://www.tiktok.com/@emmatv9884/video/9000000000000000016,1,1,1,28,28,1,1,1759181760,1759181760,1759181760,1759181760
17,34,37,1754280604,https://www.tiktok.com/@masonwilson/video/9000000000000000017,48,32,0.6666666666666666,24.09375,771,0.43412162162162166,27,1754265924,1758632980,1754265924,1758632980
18,42,45,1754235196,https://www.tiktok.com/@noahlopez/video/9000000000000000018,73,55,0.7534246575342466,22.01818181818182,1211,0.36864535768645357,43,1754172347,1759152769,1754172347,1759152769
19,27,37,1754271241,https://www.tiktok.com/@sophiasmith/video/9000000000000000019,68,53,0.7794117647058824,22.30188679245283,1182,0.46979332273449925,39,1754277804,1759144363,1754277804,1759144363
20,17,24,1757710713,https://www.tiktok.com/@evelyngarcia/video/9000000000000000020,12,11,0.9166666666666666,11.090909090909092,122,0.4236111111111111,11,1757735997,1758910978,1757735997,1758910978
21,22,35,1757313638,https://www.tiktok.com/@lucaswilson/video/9000000000000000021,19,9,0.47368421052631576,16,144,0.21654135338345862,8,1757338827,1759177509,1757338827,1759177509
22,29,44,1759164839,https://www.tiktok.com/@sophialee/video/9000000000000000022,0,0,NA,NA,0,NA,0,NA,NA,NA,NA
23,43,31,1756591653,https://www.tiktok.com/@jameswalker/video/9000000000000000023,12,10,0.8333333333333334,14.9,149,0.4005376344086022,10,1756583916,1758921107,1756583916,1758921107
24,23,36,1754161371,https://www.tiktok.com/@jameshub7877/video/9000000000000000024,139,85,0.6115107913669064,17.28235294117647,1469,0.29356514788169463,55,1754093527,1759019154,1754093527,1759019154
25,26,28,1758191486,https://www.tiktok.com/@noahlive7510/video/9000000000000000025,8,5,0.625,20,100,0.4464285714285714,5,1758300070,1759105398,1758300070,1759105398
26,34,20,1757261090,https://www.tiktok.com/@masonwilson/video/9000000000000000026,13,8,0.6153846153846154,9,72,0.27692307692307694,7,1757296965,1759163951,1757296965,1759163951
27,42,33,1755154105,https://www.tiktok.com/@noahlopez/video/9000000000000000027,21,12,0.5714285714285714,18,216,0.3116883116883117,11,1755137340,1759155881,1755137340,1759155881
28,42,25,1756968284,https://www.tiktok.com/@noahlopez/video/9000000000000000028,9,6,0.6666666666666666,11.333333333333334,68,0.3022222222222222,6,1757013671,1759155855,1757013671,1759155855
29,55,37,1757391646,https://www.tiktok.com/@sophiafit8328/video/9000000000000000029,9,6,0.6666666666666666,10,60,0.1801801801801802,5,1757453093,1759167848,1757453093,1759167848
30,19,38,1756181069,https://www.tiktok.com/@elijahtv1416/video/9000000000000000030,16,12,0.75,21.75,261,0.4292763157894737,12,1756636708,1759152774,1756636708,1759152774
31,6,10,1754680128,https://www.tiktok.com/@avagarcia/video/9000000000000000031,85,58,0.6823529411764706,4.844827586206897,281,0.3305882352941177,45,1754618079,1759086082,1754618079,1759086082
32,5,28,1756341254,https://www.tiktok.com/@evelyndaily3219/video/9000000000000000032,17,11,0.6470588235294118,19.181818181818183,211,0.4432773109243697,11,1756355407,1759163251,1756355407,1759163251
33,17,37,1754838353,https://www.tiktok.com/@evelyngarcia/video/9000000000000000033,34,24,0.7058823529411765,21.541666666666668,517,0.41096979332273453,22,1754788893,1759105151,1754788893,1759105151
34,22,24,1757462104,https://www.tiktok.com/@lucaswilson/video/9000000000000000034,12,7,0.5833333333333334,7.428571428571429,52,0.18055555555555555,5,1757554186,1758713341,1757554186,1758713341
35,52,42,1754696003,https://www.tiktok.com/@miatv693/video/9000000000000000035,38,25,0.6578947368421053,20.6,515,0.3226817042606516,22,1754809274,1758964364,1754809274,1758964364
36,39,37,1757948028,https://www.tiktok.com/@avatv5794/video/9000000000000000036,5,4,0.8,18,72,0.3891891891891892,4,1758112639,1759129508,1758112639,1759129508
37,21,26,1757234182,https://www.tiktok.com/@jamesmiller/video/9000000000000000037,8,4,0.5,9.5,38,0.1826923076923077,4,1757571186,1758999076,1757571186,1758999076
38,37,21,1756074465,https://www.tiktok.com/@charlottegarcia/video/9000000000000000038,16,12,0.75,14.166666666666666,170,0.5059523809523809,12,1754407981,1758605587,1754407981,1758605587
39,59,41,1754925184,https://www.tiktok.com/@elijahtaylor/video/9000000000000000039,34,16,0.47058823529411764,26.125,418,0.2998565279770445,14,1754030975,1758730405,1754030975,1758730405
40,41,28,1757427251,https://www.tiktok.com/@noahjohnson_1/video/9000000000000000040,13,8,0.6153846153846154,18.625,149,0.40934065934065933,8,1757399521,1759079331,1757399521,1759079331
41,27,29,1756177935,https://www.tiktok.com/@sophiasmith/video/9000000000000000041,12,5,0.4166666666666667,16.6,83,0.2385057471264368,5,1756187587,1759182011,1756187587,1759182011
42,5,11,1755865783,https://www.tiktok.com/@evelyndaily3219/video/9000000000000000042,26,19,0.7307692307692307,7.631578947368421,145,0.506993006993007,16,1755822164,1759053692,1755822164,1759053692
43,24,33,1756450247,https://www.tiktok.com/@evelynjackson/video/9000000000000000043,13,5,0.38461538461538464,15,75,0.17482517482517484,5,1754204113,1759029415,1754204113,1759029415
44,14,13,1756888361,https://www.tiktok.com/@ameliataylor/video/9000000000000000044,19,14,0.7368421052631579,6.571428571428571,92,0.3724696356275303,14,1756887449,1759054007,1756887449,1759054007
45,5,30,1759109014,https://www.tiktok.com/@evelyndaily3219/video/9000000000000000045,2,1,0.5,16,16,0.26666666666666666,1,1754043796,1754142194,1754043796,1754142194
46,60,10,1757988342,https://www.tiktok.com/@ethanallen/video/9000000000000000046,8,3,0.375,4.666666666666667,14,0.175,3,1758040436,1759154921,1758040436,1759154921
47,49,49,1758628006,https://www.tiktok.com/@sophiaofficial3334/video/9000000000000000047,4,3,0.75,23.333333333333332,70,0.35714285714285715,3,1754055774,1758905181,1754055774,1758905181
48,51,29,1756037518,https://www.tiktok.com/@miadavis/video/9000000000000000048,33,18,0.5454545454545454,17.944444444444443,323,0.33751306165099265,18,1754204156,1759075336,1754204156,1759075336
49,5,13,1754673674,https://www.tiktok.com/@evelyndaily3219/video/9000000000000000049,39,30,0.7692307692307693,6,180,0.3550295857988166,22,1754291509,1759181727,1754291509,1759181727
50,57,32,1756669976,https://www.tiktok.com/@harpertaylor/video/9000000000000000050,13,9,0.6923076923076923,18.666666666666668,168,0.40384615384615385,7,1756611482,1758932106,1756611482,1758932106
51,22,46,1758285205,https://www.tiktok.com/@lucaswilson/video/9000000000000000051,5,2,0.4,37.5,75,0.32608695652173914,2,1758404121,1759144358,1758404121,1759144358
52,46,42,1758456739,https://www.tiktok.com/@benjaminhub4825/video/9000000000000000052,7,6,0.8571428571428571,23.5,141,0.4795918367346939,6,1754401220,1758975249,1754401220,1758975249
53,27,26,1756432708,https://www.tiktok.com/@sophiasmith/video/9000000000000000053,19,11,0.5789473684210527,16.90909090909091,186,0.3765182186234818,10,1756430353,1759175416,1756430353,1759175416
54,27,10,1754885761,https://www.tiktok.com/@sophiasmith/video/9000000000000000054,56,35,0.625,4.914285714285715,172,0.3071428571428571,30,1754940333,1759062756,1754940333,1759062756
55,42,37,1755117388,https://www.tiktok.com/@noahlopez/video/9000000000000000055,20,15,0.75,20.866666666666667,313,0.422972972972973,13,1755053533,1758979498,1755053533,1758979498
56,36,24,1755183605,https://www.tiktok.com/@henrythomas/video/9000000000000000056,17,13,0.7647058823529411,17.384615384615383,226,0.5539215686274509,13,1755404744,1759177517,1755404744,1759177517
57,42,15,1757909720,https://www.tiktok.com/@noahlopez/video/9000000000000000057,14,10,0.7142857142857143,6.5,65,0.3095238095238095,9,1757929515,1759182961,1757929515,1759182961
58,42,17,1758191926,https://www.tiktok.com/@noahlopez/video/9000000000000000058,6,3,0.5,5,15,0.14705882352941177,3,1758337421,1758751979,1758337421,1758751979
59,43,46,1759174247,https://www.tiktok.com/@jameswalker/video/9000000000000000059,0,0,NA,NA,0,NA,0,NA,NA,NA,NA
